"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ATYR","Atyr Pharma Inc","Healthcare","Biotechnology","USA",636.42,,6.49,23.48%,11709221
2,"BBAI","BigBear.ai Holdings Inc","Technology","Information Technology Services","USA",1891.32,,5.10,4.76%,106072441
3,"BKSY","BlackSky Technology Inc","Industrials","Specialty Business Services","USA",680.58,,19.19,10.35%,2356881
4,"BLNK","Blink Charging Co","Industrials","Engineering & Construction","USA",139.79,,1.34,6.80%,4581831
5,"BMBL","Bumble Inc","Communication Services","Internet Content & Information","USA",706.75,,6.80,0.67%,1317898
6,"DEFT","DeFi Technologies Inc","Financial","Capital Markets","Canada",844.98,,2.49,5.52%,8701054
7,"DFDV","DeFi Development Corp","Technology","Software - Infrastructure","USA",455.21,28.57,17.80,11.11%,2774071
8,"ECDA","ECD Automotive Design Inc","Consumer Cyclical","Auto Manufacturers","USA",7.83,,0.14,15.38%,7696310
9,"EOSE","Eos Energy Enterprises Inc","Industrials","Electrical Equipment & Parts","USA",2291.78,,8.21,13.68%,15092905
10,"EVGO","EVgo Inc","Consumer Cyclical","Specialty Retail","USA",1262.25,,4.11,4.19%,3105053
11,"FLWS","1-800 Flowers.com Inc","Consumer Cyclical","Specialty Retail","USA",336.87,,5.30,0.67%,255719
12,"KULR","KULR Technology Group Inc","Technology","Electronic Components","USA",184.81,,4.50,1.03%,1036921
13,"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",127.21,,1.85,4.52%,2231605
14,"MARA","MARA Holdings Inc","Financial","Capital Markets","USA",6045.83,14.62,16.32,3.88%,59003197
15,"MOB","Mobilicom Limited ADR","Industrials","Aerospace & Defense","Israel",36.44,,7.56,14.72%,756008
16,"MPW","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",3068.61,,5.11,10.74%,16989184
17,"NRSN","NeuroSense Therapeutics Ltd","Healthcare","Biotechnology","Israel",30.50,,1.24,7.83%,2023915
18,"NVTS","Navitas Semiconductor Corp","Technology","Semiconductors","USA",1336.18,,6.27,3.13%,26484012
19,"PDYN","Palladyne AI Corp","Technology","Software - Infrastructure","USA",307.44,,7.33,2.36%,1758191
20,"PLUG","Plug Power Inc","Industrials","Electrical Equipment & Parts","USA",1749.58,,1.51,0.33%,23343654
21,"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",320.24,,2.53,2.23%,1220409
22,"SMCX","Defiance Daily Target 2x Long SMCI ETF","Financial","Exchange Traded Fund","USA",,,34.87,4.79%,2515111
23,"SPCE","Virgin Galactic Holdings Inc","Industrials","Aerospace & Defense","USA",193.22,,3.36,2.91%,2696502
24,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",364.24,,2.33,23.82%,87084553
